time_ms,ent_idx,bone,world_x,world_y,world_z,scr_x,scr_y,visible,box_x,box_y,box_w,box_h,bonearray_ptr,vm_w0,vm_w1,vm_w2,vm_w3
40796118,24,ankle_L,-1137.42,833.85,4.39,585.47,570.34,1,12.12,523.53,579.72,49.83,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40796118,24,ankle_R,-1163.96,837.57,4.43,575.94,569.65,1,12.12,523.53,579.72,49.83,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40796118,25,head,-829.41,1148.06,64.09,894.74,527.52,1,881.52,524.00,116.04,44.05,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40796118,25,neck_0,-830.34,1152.20,60.19,895.68,529.99,1,881.52,524.00,116.04,44.05,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40796118,25,pelvis,-829.84,1158.18,38.67,898.03,543.50,1,881.52,524.00,116.04,44.05,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40796118,25,ankle_L,-817.56,1149.26,4.39,901.55,565.49,1,881.52,524.00,116.04,44.05,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40796118,25,ankle_R,-841.65,1160.99,4.43,892.81,564.75,1,881.52,524.00,116.04,44.05,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40797121,23,head,-510.19,1147.69,64.00,1090.50,527.58,1,1075.30,523.53,30.39,50.65,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40797121,23,neck_0,-510.22,1151.93,60.10,1091.42,530.42,1,1075.30,523.53,30.39,50.65,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40797121,23,pelvis,-508.60,1157.59,38.67,1093.77,545.93,1,1075.30,523.53,30.39,50.65,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40797121,23,ankle_L,-498.44,1146.31,4.39,1098.40,571.39,1,1075.30,523.53,30.39,50.65,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40797121,23,ankle_R,-519.57,1162.80,4.43,1087.20,570.29,1,1075.30,523.53,30.39,50.65,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40797121,24,head,-1148.27,829.17,64.00,576.99,527.58,1,172.75,519.42,434.82,101.92,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40797121,24,neck_0,-1150.43,832.82,60.10,578.50,530.36,1,172.75,519.42,434.82,101.92,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40797121,24,pelvis,-1151.85,838.54,38.67,581.80,545.56,1,172.75,519.42,434.82,101.92,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40797121,24,ankle_L,-1137.42,833.85,4.39,585.47,570.34,1,172.75,519.42,434.82,101.92,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40797121,24,ankle_R,-1163.96,837.57,4.43,575.94,569.65,1,172.75,519.42,434.82,101.92,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40797121,25,head,-829.33,1148.16,64.00,894.82,527.58,1,873.74,521.95,197.66,70.26,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40797121,25,neck_0,-830.25,1152.30,60.10,895.77,530.04,1,873.74,521.95,197.66,70.26,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40797121,25,pelvis,-829.84,1158.18,38.67,898.03,543.50,1,873.74,521.95,197.66,70.26,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40797121,25,ankle_L,-817.56,1149.26,4.39,901.55,565.49,1,873.74,521.95,197.66,70.26,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40797121,25,ankle_R,-841.65,1160.99,4.43,892.81,564.75,1,873.74,521.95,197.66,70.26,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40798121,23,head,-510.40,1147.40,63.99,1090.28,527.59,1,1075.09,523.54,30.39,50.64,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40798121,23,neck_0,-510.46,1151.68,60.13,1091.19,530.40,1,1075.09,523.54,30.39,50.64,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40798121,23,pelvis,-508.60,1157.59,38.67,1093.77,545.93,1,1075.09,523.54,30.39,50.64,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40798121,23,ankle_L,-498.44,1146.31,4.39,1098.40,571.39,1,1075.09,523.54,30.39,50.64,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40798121,23,ankle_R,-519.57,1162.80,4.43,1087.20,570.29,1,1075.09,523.54,30.39,50.64,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40798121,24,head,-1148.31,828.82,63.99,576.74,527.59,1,349.76,516.02,270.36,144.59,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40798121,24,neck_0,-1150.51,832.49,60.13,578.23,530.35,1,349.76,516.02,270.36,144.59,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40798121,24,pelvis,-1151.85,838.54,38.67,581.80,545.56,1,349.76,516.02,270.36,144.59,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40798121,24,ankle_L,-1137.42,833.85,4.39,585.47,570.34,1,349.76,516.02,270.36,144.59,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40798121,24,ankle_R,-1163.96,837.57,4.43,575.94,569.65,1,349.76,516.02,270.36,144.59,3A28F8CC600,-0.469276,0.882882,-0.017278,-266.067230
40798121,25,head,-829.48,1147.84,63.99,894.63,527.59,1,862.78,519.09,299.94,106.16,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40798121,25,neck_0,-830.43,1152.00,60.13,895.57,530.03,1,862.78,519.09,299.94,106.16,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40798121,25,pelvis,-829.84,1158.18,38.67,898.03,543.50,1,862.78,519.09,299.94,106.16,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40798121,25,ankle_L,-817.56,1149.26,4.39,901.55,565.49,1,862.78,519.09,299.94,106.16,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40798121,25,ankle_R,-841.65,1160.99,4.43,892.81,564.75,1,862.78,519.09,299.94,106.16,3A28F8C0200,-0.469276,0.882882,-0.017278,-266.067230
40799122,23,head,-510.08,1147.73,64.15,1090.58,527.47,1,1075.35,523.41,30.46,50.77,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
40799122,23,neck_0,-510.28,1151.95,60.24,1091.39,530.32,1,1075.35,523.41,30.46,50.77,3A28F8C9C00,-0.469276,0.882882,-0.017278,-266.067230
